date,10min,time,value
01.01.21  ,1,00:00:00,42.933
01.01.21  ,2,00:10:00,42.933
01.01.21  ,3,00:20:00,41.167
01.01.21  ,4,00:30:00,41.6
01.01.21  ,5,00:40:00,40.433
01.01.21  ,6,00:50:00,41.7
01.01.21  ,1,01:00:00,39.633
01.01.21  ,2,01:10:00,38.2
01.01.21  ,3,01:20:00,37.967
01.01.21  ,4,01:30:00,38.167
01.01.21  ,5,01:40:00,38.8
01.01.21  ,6,01:50:00,39.0
01.01.21  ,1,02:00:00,38.033
01.01.21  ,2,02:10:00,37.633
01.01.21  ,3,02:20:00,36.3
01.01.21  ,4,02:30:00,38.333
01.01.21  ,5,02:40:00,35.767
01.01.21  ,6,02:50:00,36.8
01.01.21  ,1,03:00:00,37.233
01.01.21  ,2,03:10:00,37.5
01.01.21  ,3,03:20:00,35.867
01.01.21  ,4,03:30:00,37.733
01.01.21  ,5,03:40:00,36.7
01.01.21  ,6,03:50:00,36.333
01.01.21  ,1,04:00:00,37.833
01.01.21  ,2,04:10:00,37.533
01.01.21  ,3,04:20:00,37.133
01.01.21  ,4,04:30:00,36.833
01.01.21  ,5,04:40:00,35.4
01.01.21  ,6,04:50:00,35.7
01.01.21  ,1,05:00:00,36.367
01.01.21  ,2,05:10:00,36.267
01.01.21  ,3,05:20:00,36.1
01.01.21  ,4,05:30:00,36.1
01.01.21  ,5,05:40:00,35.467
01.01.21  ,6,05:50:00,34.433
01.01.21  ,1,06:00:00,36.2
01.01.21  ,2,06:10:00,34.433
01.01.21  ,3,06:20:00,35.233
01.01.21  ,4,06:30:00,35.167
01.01.21  ,5,06:40:00,34.967
01.01.21  ,6,06:50:00,34.9
01.01.21  ,1,07:00:00,35.4
01.01.21  ,2,07:10:00,37.3
01.01.21  ,3,07:20:00,38.1
01.01.21  ,4,07:30:00,37.067
01.01.21  ,5,07:40:00,37.733
01.01.21  ,6,07:50:00,38.167
01.01.21  ,1,08:00:00,38.067
01.01.21  ,2,08:10:00,38.367
01.01.21  ,3,08:20:00,40.9
01.01.21  ,4,08:30:00,41.4
01.01.21  ,5,08:40:00,40.4
01.01.21  ,6,08:50:00,40.367
01.01.21  ,1,09:00:00,43.367
01.01.21  ,2,09:10:00,41.9
01.01.21  ,3,09:20:00,45.267
01.01.21  ,4,09:30:00,45.833
01.01.21  ,5,09:40:00,47.333
01.01.21  ,6,09:50:00,46.6
01.01.21  ,1,10:00:00,48.333
01.01.21  ,2,10:10:00,48.467
01.01.21  ,3,10:20:00,48.7
01.01.21  ,4,10:30:00,47.7
01.01.21  ,5,10:40:00,43.833
01.01.21  ,6,10:50:00,44.3
01.01.21  ,1,11:00:00,43.567
01.01.21  ,2,11:10:00,45.567
01.01.21  ,3,11:20:00,42.633
01.01.21  ,4,11:30:00,44.0
01.01.21  ,5,11:40:00,42.5
01.01.21  ,6,11:50:00,44.0
01.01.21  ,1,12:00:00,39.9
01.01.21  ,2,12:10:00,39.4
01.01.21  ,3,12:20:00,41.7
01.01.21  ,4,12:30:00,43.633
01.01.21  ,5,12:40:00,49.3
01.01.21  ,6,12:50:00,43.233
01.01.21  ,1,13:00:00,39.7
01.01.21  ,2,13:10:00,36.6
01.01.21  ,3,13:20:00,27.3
01.01.21  ,4,13:30:00,28.433
01.01.21  ,5,13:40:00,31.4
01.01.21  ,6,13:50:00,24.2
01.01.21  ,1,14:00:00,22.767
01.01.21  ,2,14:10:00,22.067
01.01.21  ,3,14:20:00,26.2
01.01.21  ,4,14:30:00,23.267
01.01.21  ,5,14:40:00,21.433
01.01.21  ,6,14:50:00,30.3
01.01.21  ,1,15:00:00,30.6
01.01.21  ,2,15:10:00,27.467
01.01.21  ,3,15:20:00,27.233
01.01.21  ,4,15:30:00,26.0
01.01.21  ,5,15:40:00,28.6
01.01.21  ,6,15:50:00,32.1
01.01.21  ,1,16:00:00,31.967
01.01.21  ,2,16:10:00,34.4
01.01.21  ,3,16:20:00,35.3
01.01.21  ,4,16:30:00,36.333
01.01.21  ,5,16:40:00,38.567
01.01.21  ,6,16:50:00,42.933
01.01.21  ,1,17:00:00,43.8
01.01.21  ,2,17:10:00,45.367
01.01.21  ,3,17:20:00,46.3
01.01.21  ,4,17:30:00,48.6
01.01.21  ,5,17:40:00,49.833
01.01.21  ,6,17:50:00,51.867
01.01.21  ,1,18:00:00,52.667
01.01.21  ,2,18:10:00,53.767
01.01.21  ,3,18:20:00,55.933
01.01.21  ,4,18:30:00,56.933
01.01.21  ,5,18:40:00,57.933
01.01.21  ,6,18:50:00,56.733
01.01.21  ,1,19:00:00,59.4
01.01.21  ,2,19:10:00,60.0
01.01.21  ,3,19:20:00,58.867
01.01.21  ,4,19:30:00,59.9
01.01.21  ,5,19:40:00,58.267
01.01.21  ,6,19:50:00,55.967
01.01.21  ,1,20:00:00,57.333
01.01.21  ,2,20:10:00,56.833
01.01.21  ,3,20:20:00,56.0
01.01.21  ,4,20:30:00,57.4
01.01.21  ,5,20:40:00,56.833
01.01.21  ,6,20:50:00,55.767
01.01.21  ,1,21:00:00,56.133
01.01.21  ,2,21:10:00,55.567
01.01.21  ,3,21:20:00,55.3
01.01.21  ,4,21:30:00,53.0
01.01.21  ,5,21:40:00,53.167
01.01.21  ,6,21:50:00,51.133
01.01.21  ,1,22:00:00,51.8
01.01.21  ,2,22:10:00,50.167
01.01.21  ,3,22:20:00,50.1
01.01.21  ,4,22:30:00,48.8
01.01.21  ,5,22:40:00,50.867
01.01.21  ,6,22:50:00,49.6
01.01.21  ,1,23:00:00,46.6
01.01.21  ,2,23:10:00,46.367
01.01.21  ,3,23:20:00,46.6
01.01.21  ,4,23:30:00,44.267
01.01.21  ,5,23:40:00,42.533
01.01.21  ,6,23:50:00,41.367
02.01.21  ,1,00:00:00,40.3
02.01.21  ,2,00:10:00,38.633
02.01.21  ,3,00:20:00,39.367
02.01.21  ,4,00:30:00,39.0
02.01.21  ,5,00:40:00,37.333
02.01.21  ,6,00:50:00,37.1
02.01.21  ,1,01:00:00,37.267
02.01.21  ,2,01:10:00,37.333
02.01.21  ,3,01:20:00,35.033
02.01.21  ,4,01:30:00,36.433
02.01.21  ,5,01:40:00,36.0
02.01.21  ,6,01:50:00,35.5
02.01.21  ,1,02:00:00,35.933
02.01.21  ,2,02:10:00,34.933
02.01.21  ,3,02:20:00,33.4
02.01.21  ,4,02:30:00,35.033
02.01.21  ,5,02:40:00,34.233
02.01.21  ,6,02:50:00,32.933
02.01.21  ,1,03:00:00,33.5
02.01.21  ,2,03:10:00,33.167
02.01.21  ,3,03:20:00,33.633
02.01.21  ,4,03:30:00,34.733
02.01.21  ,5,03:40:00,34.533
02.01.21  ,6,03:50:00,35.2
02.01.21  ,1,04:00:00,34.7
02.01.21  ,2,04:10:00,34.0
02.01.21  ,3,04:20:00,34.0
02.01.21  ,4,04:30:00,33.6
02.01.21  ,5,04:40:00,33.5
02.01.21  ,6,04:50:00,32.567
02.01.21  ,1,05:00:00,33.433
02.01.21  ,2,05:10:00,34.167
02.01.21  ,3,05:20:00,34.8
02.01.21  ,4,05:30:00,35.567
02.01.21  ,5,05:40:00,34.267
02.01.21  ,6,05:50:00,34.1
02.01.21  ,1,06:00:00,34.5
02.01.21  ,2,06:10:00,36.1
02.01.21  ,3,06:20:00,35.333
02.01.21  ,4,06:30:00,34.333
02.01.21  ,5,06:40:00,34.4
02.01.21  ,6,06:50:00,34.1
02.01.21  ,1,07:00:00,34.133
02.01.21  ,2,07:10:00,35.733
02.01.21  ,3,07:20:00,35.467
02.01.21  ,4,07:30:00,35.7
02.01.21  ,5,07:40:00,34.8
02.01.21  ,6,07:50:00,33.833
02.01.21  ,1,08:00:00,33.167
02.01.21  ,2,08:10:00,32.433
02.01.21  ,3,08:20:00,32.367
02.01.21  ,4,08:30:00,32.767
02.01.21  ,5,08:40:00,31.867
02.01.21  ,6,08:50:00,30.567
02.01.21  ,1,09:00:00,31.133
02.01.21  ,2,09:10:00,32.4
02.01.21  ,3,09:20:00,31.867
02.01.21  ,4,09:30:00,29.067
02.01.21  ,5,09:40:00,26.4
