datetime,value
2021-01-01 00:00:00,250.77
2021-01-01 01:00:00,231.77
2021-01-01 02:00:00,222.87
2021-01-01 03:00:00,221.37
2021-01-01 04:00:00,220.43
2021-01-01 05:00:00,214.73
2021-01-01 06:00:00,210.9
2021-01-01 07:00:00,223.77
2021-01-01 08:00:00,239.5
2021-01-01 09:00:00,270.3
2021-01-01 10:00:00,281.33
2021-01-01 11:00:00,262.27
2021-01-01 12:00:00,257.17
2021-01-01 13:00:00,187.63
2021-01-01 14:00:00,146.03
2021-01-01 15:00:00,172.0
2021-01-01 16:00:00,219.5
2021-01-01 17:00:00,285.77
2021-01-01 18:00:00,333.97
2021-01-01 19:00:00,352.4
2021-01-01 20:00:00,340.17
2021-01-01 21:00:00,324.3
2021-01-01 22:00:00,301.33
2021-01-01 23:00:00,267.73
2021-01-02 00:00:00,231.73
2021-01-02 01:00:00,217.57
2021-01-02 02:00:00,206.46
2021-01-02 03:00:00,204.77
2021-01-02 04:00:00,202.37
2021-01-02 05:00:00,206.33
2021-01-02 06:00:00,208.77
2021-01-02 07:00:00,209.67
2021-01-02 08:00:00,193.17
2021-01-02 09:00:00,174.5
2021-01-02 10:00:00,119.2
2021-01-02 11:00:00,102.7
2021-01-02 12:00:00,96.27
2021-01-02 13:00:00,144.6
2021-01-02 14:00:00,168.33
2021-01-02 15:00:00,170.7
2021-01-02 16:00:00,218.37
2021-01-02 17:00:00,276.13
2021-01-02 18:00:00,327.7
2021-01-02 19:00:00,347.37
2021-01-02 20:00:00,345.36
2021-01-02 21:00:00,342.67
2021-01-02 22:00:00,314.07
2021-01-02 23:00:00,271.6
2021-01-03 00:00:00,249.53
2021-01-03 01:00:00,228.07
2021-01-03 02:00:00,212.93
2021-01-03 03:00:00,206.4
2021-01-03 04:00:00,207.0
2021-01-03 05:00:00,209.37
2021-01-03 06:00:00,214.77
2021-01-03 07:00:00,220.03
2021-01-03 08:00:00,233.0
2021-01-03 09:00:00,243.0
2021-01-03 10:00:00,231.87
2021-01-03 11:00:00,191.43
2021-01-03 12:00:00,133.97
2021-01-03 13:00:00,139.57
2021-01-03 14:00:00,173.87
2021-01-03 15:00:00,150.23
2021-01-03 16:00:00,221.77
2021-01-03 17:00:00,293.7
2021-01-03 18:00:00,359.8
2021-01-03 19:00:00,348.03
2021-01-03 20:00:00,336.47
2021-01-03 21:00:00,334.33
2021-01-03 22:00:00,322.47
2021-01-03 23:00:00,280.03
2021-01-04 00:00:00,255.6
2021-01-04 01:00:00,221.3
2021-01-04 02:00:00,208.47
2021-01-04 03:00:00,192.77
2021-01-04 04:00:00,191.53
2021-01-04 05:00:00,199.53
2021-01-04 06:00:00,220.6
2021-01-04 07:00:00,226.1
2021-01-04 08:00:00,228.3
2021-01-04 09:00:00,206.9
2021-01-04 10:00:00,133.9
2021-01-04 11:00:00,141.97
2021-01-04 12:00:00,100.93
2021-01-04 13:00:00,142.77
2021-01-04 14:00:00,175.03
2021-01-04 15:00:00,222.07
2021-01-04 16:00:00,262.8
2021-01-04 17:00:00,321.9
2021-01-04 18:00:00,354.53
2021-01-04 19:00:00,360.73
2021-01-04 20:00:00,368.33
2021-01-04 21:00:00,347.87
2021-01-04 22:00:00,300.23
2021-01-04 23:00:00,279.6
2021-01-05 00:00:00,252.5
2021-01-05 01:00:00,233.6
2021-01-05 02:00:00,214.73
2021-01-05 03:00:00,201.57
2021-01-05 04:00:00,196.6
2021-01-05 05:00:00,200.2
2021-01-05 06:00:00,221.27
2021-01-05 07:00:00,229.5
2021-01-05 08:00:00,232.83
2021-01-05 09:00:00,219.03
2021-01-05 10:00:00,189.5
2021-01-05 11:00:00,135.2
2021-01-05 12:00:00,134.7
2021-01-05 13:00:00,156.2
2021-01-05 14:00:00,141.7
2021-01-05 15:00:00,136.87
2021-01-05 16:00:00,219.77
2021-01-05 17:00:00,314.27
2021-01-05 18:00:00,366.9
2021-01-05 19:00:00,380.07
2021-01-05 20:00:00,354.87
2021-01-05 21:00:00,334.5
2021-01-05 22:00:00,304.37
2021-01-05 23:00:00,272.3
2021-01-06 00:00:00,250.03
2021-01-06 01:00:00,227.93
2021-01-06 02:00:00,219.03
2021-01-06 03:00:00,207.4
2021-01-06 04:00:00,197.03
2021-01-06 05:00:00,202.27
2021-01-06 06:00:00,213.67
2021-01-06 07:00:00,213.63
2021-01-06 08:00:00,222.0
2021-01-06 09:00:00,202.97
2021-01-06 10:00:00,214.57
2021-01-06 11:00:00,199.87
2021-01-06 12:00:00,198.7
2021-01-06 13:00:00,183.6
2021-01-06 14:00:00,205.47
2021-01-06 15:00:00,243.2
2021-01-06 16:00:00,252.03
2021-01-06 17:00:00,325.17
2021-01-06 18:00:00,368.73
2021-01-06 19:00:00,375.4
2021-01-06 20:00:00,381.03
2021-01-06 21:00:00,361.03
2021-01-06 22:00:00,319.73
2021-01-06 23:00:00,293.73
2021-01-07 00:00:00,253.63
2021-01-07 01:00:00,227.4
2021-01-07 02:00:00,212.0
2021-01-07 03:00:00,201.83
2021-01-07 04:00:00,204.03
2021-01-07 05:00:00,217.17
2021-01-07 06:00:00,232.03
2021-01-07 07:00:00,250.87
2021-01-07 08:00:00,247.5
2021-01-07 09:00:00,224.7
2021-01-07 10:00:00,185.03
2021-01-07 11:00:00,152.07
2021-01-07 12:00:00,110.6
2021-01-07 13:00:00,142.7
2021-01-07 14:00:00,213.2
2021-01-07 15:00:00,220.6
2021-01-07 16:00:00,234.73
2021-01-07 17:00:00,295.67
2021-01-07 18:00:00,372.57
2021-01-07 19:00:00,363.87
2021-01-07 20:00:00,384.23
2021-01-07 21:00:00,371.43
2021-01-07 22:00:00,323.27
2021-01-07 23:00:00,288.9
2021-01-08 00:00:00,260.7
2021-01-08 01:00:00,235.4
2021-01-08 02:00:00,218.7
2021-01-08 03:00:00,205.33
2021-01-08 04:00:00,204.73
2021-01-08 05:00:00,210.03
2021-01-08 06:00:00,228.83
2021-01-08 07:00:00,238.8
2021-01-08 08:00:00,245.0
2021-01-08 09:00:00,224.47
2021-01-08 10:00:00,193.83
2021-01-08 11:00:00,175.4
2021-01-08 12:00:00,175.9
2021-01-08 13:00:00,139.6
2021-01-08 14:00:00,150.5
2021-01-08 15:00:00,193.4
2021-01-08 16:00:00,260.27
2021-01-08 17:00:00,338.27
2021-01-08 18:00:00,392.2
2021-01-08 19:00:00,382.57
2021-01-08 20:00:00,387.83
2021-01-08 21:00:00,360.23
2021-01-08 22:00:00,324.83
2021-01-08 23:00:00,312.03
2021-01-09 00:00:00,275.33
2021-01-09 01:00:00,241.7
2021-01-09 02:00:00,215.33
2021-01-09 03:00:00,205.23
2021-01-09 04:00:00,204.53
2021-01-09 05:00:00,205.46
2021-01-09 06:00:00,212.67
2021-01-09 07:00:00,233.97
2021-01-09 08:00:00,266.9
2021-01-09 09:00:00,273.93
2021-01-09 10:00:00,287.43
2021-01-09 11:00:00,293.97
2021-01-09 12:00:00,267.4
2021-01-09 13:00:00,265.43
2021-01-09 14:00:00,283.9
2021-01-09 15:00:00,292.87
2021-01-09 16:00:00,300.8
2021-01-09 17:00:00,354.87
2021-01-09 18:00:00,431.04
2021-01-09 19:00:00,399.07
2021-01-09 20:00:00,381.9
2021-01-09 21:00:00,353.2
2021-01-09 22:00:00,326.13
2021-01-09 23:00:00,275.5
2021-01-10 00:00:00,244.9
2021-01-10 01:00:00,229.8
2021-01-10 02:00:00,219.67
2021-01-10 03:00:00,209.03
2021-01-10 04:00:00,203.07
2021-01-10 05:00:00,206.57
2021-01-10 06:00:00,218.07
2021-01-10 07:00:00,225.83
2021-01-10 08:00:00,225.0
2021-01-10 09:00:00,237.67
2021-01-10 10:00:00,219.27
2021-01-10 11:00:00,225.1
2021-01-10 12:00:00,248.73
2021-01-10 13:00:00,230.87
2021-01-10 14:00:00,188.53
2021-01-10 15:00:00,183.43
2021-01-10 16:00:00,249.77
2021-01-10 17:00:00,322.97
2021-01-10 18:00:00,381.5
2021-01-10 19:00:00,386.3
2021-01-10 20:00:00,358.13
2021-01-10 21:00:00,337.63
2021-01-10 22:00:00,294.8
2021-01-10 23:00:00,264.03
2021-01-11 00:00:00,240.0
2021-01-11 01:00:00,213.43
2021-01-11 02:00:00,207.1
2021-01-11 03:00:00,199.14
2021-01-11 04:00:00,194.07
2021-01-11 05:00:00,199.0
2021-01-11 06:00:00,210.93
2021-01-11 07:00:00,241.87
2021-01-11 08:00:00,245.67
2021-01-11 09:00:00,256.57
2021-01-11 10:00:00,232.63
2021-01-11 11:00:00,227.6
2021-01-11 12:00:00,220.83
2021-01-11 13:00:00,245.87
2021-01-11 14:00:00,191.93
2021-01-11 15:00:00,217.97
2021-01-11 16:00:00,241.03
2021-01-11 17:00:00,295.07
2021-01-11 18:00:00,348.77
2021-01-11 19:00:00,348.67
2021-01-11 20:00:00,357.33
2021-01-11 21:00:00,345.2
2021-01-11 22:00:00,310.8
2021-01-11 23:00:00,265.94
2021-01-12 00:00:00,235.43
2021-01-12 01:00:00,214.07
2021-01-12 02:00:00,204.7
2021-01-12 03:00:00,194.43
2021-01-12 04:00:00,195.4
2021-01-12 05:00:00,199.43
2021-01-12 06:00:00,224.8
2021-01-12 07:00:00,242.03
2021-01-12 08:00:00,252.5
2021-01-12 09:00:00,246.03
2021-01-12 10:00:00,228.9
2021-01-12 11:00:00,241.53
2021-01-12 12:00:00,257.67
2021-01-12 13:00:00,254.97
2021-01-12 14:00:00,264.33
2021-01-12 15:00:00,282.53
2021-01-12 16:00:00,317.47
2021-01-12 17:00:00,369.97
2021-01-12 18:00:00,409.23
2021-01-12 19:00:00,392.8
2021-01-12 20:00:00,356.67
2021-01-12 21:00:00,342.4
2021-01-12 22:00:00,298.83
2021-01-12 23:00:00,264.33
2021-01-13 00:00:00,244.47
2021-01-13 01:00:00,224.63
2021-01-13 02:00:00,204.07
2021-01-13 03:00:00,193.43
2021-01-13 04:00:00,188.33
2021-01-13 05:00:00,197.8
2021-01-13 06:00:00,214.97
2021-01-13 07:00:00,241.0
2021-01-13 08:00:00,246.07
2021-01-13 09:00:00,246.07
2021-01-13 10:00:00,261.03
2021-01-13 11:00:00,196.27
2021-01-13 12:00:00,194.73
2021-01-13 13:00:00,217.5
2021-01-13 14:00:00,175.0
2021-01-13 15:00:00,202.97
2021-01-13 16:00:00,239.4
2021-01-13 17:00:00,301.4
2021-01-13 18:00:00,361.6
2021-01-13 19:00:00,366.73
2021-01-13 20:00:00,344.3
2021-01-13 21:00:00,358.7
2021-01-13 22:00:00,321.93
2021-01-13 23:00:00,279.97
2021-01-14 00:00:00,244.8
2021-01-14 01:00:00,228.63
2021-01-14 02:00:00,212.9
2021-01-14 03:00:00,207.13
2021-01-14 04:00:00,204.7
2021-01-14 05:00:00,211.1
2021-01-14 06:00:00,234.13
2021-01-14 07:00:00,271.17
2021-01-14 08:00:00,278.4
2021-01-14 09:00:00,220.6
2021-01-14 10:00:00,267.0
2021-01-14 11:00:00,268.4
2021-01-14 12:00:00,190.2
2021-01-14 13:00:00,209.73
2021-01-14 14:00:00,207.07
2021-01-14 15:00:00,299.93
2021-01-14 16:00:00,341.07
2021-01-14 17:00:00,411.67
2021-01-14 18:00:00,460.73
2021-01-14 19:00:00,467.83
2021-01-14 20:00:00,468.57
2021-01-14 21:00:00,446.33
2021-01-14 22:00:00,391.57
2021-01-14 23:00:00,340.27
2021-01-15 00:00:00,270.97
2021-01-15 01:00:00,242.13
2021-01-15 02:00:00,225.6
2021-01-15 03:00:00,217.13
2021-01-15 04:00:00,214.17
2021-01-15 05:00:00,219.77
2021-01-15 06:00:00,246.97
2021-01-15 07:00:00,283.83
2021-01-15 08:00:00,277.77
2021-01-15 09:00:00,302.8
2021-01-15 10:00:00,335.67
2021-01-15 11:00:00,333.93
2021-01-15 12:00:00,316.26
2021-01-15 13:00:00,278.33
2021-01-15 14:00:00,282.27
2021-01-15 15:00:00,296.83
2021-01-15 16:00:00,334.33
2021-01-15 17:00:00,385.97
2021-01-15 18:00:00,438.53
2021-01-15 19:00:00,457.37
2021-01-15 20:00:00,441.5
2021-01-15 21:00:00,419.3
2021-01-15 22:00:00,388.7
2021-01-15 23:00:00,359.53
